# RULE-SYNC-REGISTER.tsv — bidirectional rule-coverage audit
# slop=309 ksf=14 charon-reverse=16
# direction: into-charon = SLOP/KSF rule evaluated against Charon; out-of-charon = Charon mechanism SLOP/KSF lack
# charon_status: ported | gap | n-a
# action: none | port-to-charon | file-slop-ticket | file-ksf-ticket
source_framework	rule_id	rule_summary	charon_status	direction	mechanized	action	note
slop	SLOP-INV:7.8	Rule 4.1: Compliance rules must be codified — every architectural constraint that caused a bug lives in ms-coverage RULES with id/label/rationale/risk/test_fn/test_file	gap	into-charon	fleet/state/RULE-SYNC-REGISTER.tsv	port-to-charon	This register IS the start; needs a per-rule test_fn/test_file column to be fully equivalent.
slop	SLOP-INV:7.9	Rule 4.2: Architectural knowledge must have machine-checkable rule — tribal knowledge is not safe	ported	into-charon	none	none	MANAGER-OPERATING-RULES §11 'every gate-able rule MUST be a gate' encodes this.
slop	SLOP-INV:7.10	Rule 4.4: Transaction atomicity — multiple DB operations that must succeed/fail together must execute in single StateDB context	n-a	into-charon	none	none	No DB transactions in Charon rig layer.
slop	SLOP-INV:7.11	Rule 4.14: Rate limiting — all mutating endpoints carry @limiter.limit decorator; localhost bypassed; tier defaults 5/10/30/60 per minute	n-a	into-charon	none	none	No HTTP API in Charon rig layer.
slop	SLOP-INV:7.12	Rule 4.18: API versioning — URL-path prefix /api/v1/; dual-mount at /api/v1/<area> and /api/<area>; deprecation tripod headers	n-a	into-charon	none	none	No HTTP API versioning concern in Charon rig layer.
slop	SLOP-INV:7.13	Rule 4.19: Metrics discipline — /metrics endpoint outside /api/v1/; cardinality bounded; metric name+label changes are breaking changes	n-a	into-charon	none	none	Charon has dogfood scoring, not Prometheus /metrics.
slop	SLOP-INV:7.14	Rule 4.20: Health probes — /healthz (liveness, dependency-free), /readyz (readiness), /startupz (startup)	n-a	into-charon	none	none	No K8s probe trio in Charon rig layer.
slop	SLOP-INV:7.15	Rule 4.21: Audit trail — every mutating HTTP request writes to audit_log; append-only; request body sha256 hashed not stored	n-a	into-charon	none	none	Charon no audit_log; REDS-CORPUS.md is the closest analog.
slop	SLOP-INV:8.1	Structural Hygiene Rule 2: Production path = test path — tests import modules via SAME import path as production entrypoints	gap	into-charon	none	port-to-charon	Same as SLOP-INV:5.2.
slop	SLOP-INV:8.2	ms-enforce Tier 1: Path Contracts (TestPathContractAlignment)	gap	into-charon	none	port-to-charon	Charon no path-contract gate.
slop	SLOP-INV:8.3	Core Rule 3.9: Test infrastructure must use same path sources as production code	n-a	into-charon	none	none	Same as SLOP-INV:6.21.
slop	SLOP-INV:8.4	ms-enforce Tier 1: Write-Read Cycle Contracts	gap	into-charon	none	port-to-charon	Same as SLOP-INV:6.55.
slop	SLOP-INV:8.5	tools/check_product_test_imports.py	n-a	into-charon	none	none	Same as SLOP-INV:6.80.
slop	SLOP-INV:8.6	ms-enforce Tier 1: Generated Suite Executes (HARD)	n-a	into-charon	none	none	Same as SLOP-INV:6.67.
slop	SLOP-INV:8.7	ms-enforce Tier 1: Generated Suite Freshness (HARD)	n-a	into-charon	none	none	Same as SLOP-INV:6.59.
slop	SLOP-INV:8.8	ms-enforce Tier 1: Generated Suite Node-Set (HARD)	n-a	into-charon	none	none	Same as SLOP-INV:6.60.
slop	SLOP-INV:8.9	ms-enforce Tier 2: Coverage Frozen Freshness (LOCAL-ONLY)	n-a	into-charon	none	none	Same as SLOP-INV:6.68.
slop	SLOP-INV:8.10	Core Rule 4.17: No dead code (vulture)	gap	into-charon	none	port-to-charon	Same as SLOP-INV:5.18.
slop	SLOP-INV:8.11	Core Rule 3.5: No pure static analysis	ported	into-charon	fleet/tests/*.test.sh	none	Same as SLOP-INV:6.18.
slop	SLOP-INV:8.12	Core Rule 2.1: Full E2E testing	n-a	into-charon	none	none	Same as SLOP-INV:6.7.
slop	SLOP-INV:8.13	Core Rule 1.4: Zero gaps — no untested behavior	gap	into-charon	none	port-to-charon	Same as SLOP-INV:6.6.
slop	SLOP-INV:8.14	Rule 5.11: Playwright coverage of all Vue views	n-a	into-charon	none	none	Same as SLOP-INV:6.32.
slop	SLOP-INV:8.15	Rule 5.27: Installer two-track test coverage	n-a	into-charon	none	none	Same as SLOP-INV:6.40.
slop	SLOP-INV:8.16	ms-enforce Tier 1: Heredoc Python	gap	into-charon	none	port-to-charon	Same as SLOP-INV:5.67.
slop	SLOP-INV:8.17	ms-enforce Tier 1: Enforcement Coverage SSOT (claims of enforcement meaningful only if mechanism exists, wired, can fail, targets root problem)	gap	into-charon	none	port-to-charon	Same as SLOP-INV:5.29; KSF coverage_ssot is the exact analog.
slop	SLOP-INV:8.18	Wired-not-activated gap class	gap	into-charon	none	port-to-charon	KSF coverage_ssot already encodes this; just needs adoption.
slop	SLOP-INV:8.19	ms-enforce Tier 1: Canonical Commit Guard (HARD)	gap	into-charon	fleet/hooks	port-to-charon	Same as SLOP-INV:5.64.
slop	SLOP-INV:8.20	Makefile: publish-slop (only publishes if HEAD advanced past last published AND CI workflow green)	n-a	into-charon	none	none	Charon is the build-rig, not a public product publisher.
slop	SLOP-INV:8.21	tools/check_public_standalone.py (hermetic standalone build+install+health gate)	n-a	into-charon	none	none	Same as SLOP-INV:6.81.
slop	SLOP-INV:8.22	safety_critical_gates.json + verify_block_invariants.py	gap	into-charon	fleet/checks	port-to-charon	Same as SLOP-INV:6.103.
slop	SLOP-INV:8.23	Core Rule 4.2: Architectural knowledge must have machine-checkable rule	ported	into-charon	none	none	Same as SLOP-INV:7.9.
ksf	KSF-GATE:redproof	Every gate ships with a redproof/ negative test that proves the gate CAN fail	ported	into-charon	fleet/tests/*.test.sh	none	Charon tests/*.test.sh follow the same redproof pattern (run gate against tmp_path, assert behavior).
ksf	KSF-GATE:no_vacuous	Gate cannot pass with ZERO items checked (empty discovery / zero tests = RED, never silent pass)	gap	into-charon	none	port-to-charon	Charon has no formal no-vacuous rule; some checks could pass vacuously if their input is empty.
ksf	KSF-GATE:no_skip_game	Gate cannot be silently skipped / xfail'd; checked node-set cannot silently shrink	gap	into-charon	none	port-to-charon	Charon shell tests can be skipped via set -e tricks; no formal anti-skip rule.
ksf	KSF-GATE:no_pipe_mask	Failure propagates as NON-ZERO exit; never masked by | tail, || true, missing set -o pipefail	ported	into-charon	set -euo pipefail	none	Charon shell scripts use set -euo pipefail; KSF no_pipe_mask is satisfied.
ksf	KSF-GATE:fail_loud	Every failure is observable, contextual, and actionable; no silent success on failure	ported	into-charon	none	none	MANAGER-OPERATING-RULES §11 'green is not proof' + 'fail-loud' is the Charon rule.
ksf	KSF-GATE:leak_guard	Code text never contains secrets, absolute build-rig paths, PII, or personal/internal identifiers	ported	into-charon	fleet/checks	none	Charon has the same spirit; KSF leak_guard could be ported as a strict pattern gate.
ksf	KSF-GATE:inert_code	Code that is built and unit-tested but never actually called from any wired path is flagged	gap	into-charon	none	port-to-charon	Charon no inert_code detector; this would catch the built-but-not-wired class (same disease as the gap this ticket addresses).
ksf	KSF-GATE:coverage_ssot	Every rule is classified mechanized/guidance/GAP; goal = 100% mechanized; 8-class gap taxonomy	gap	into-charon	none	port-to-charon	Charon no enforcement-coverage SSOT; this register is the start but not yet a meta-gate.
ksf	KSF-GATE:wiring_alignment	Every module is wired with correct gates, tests, and surface; module.toml gates list is enforced	gap	into-charon	none	port-to-charon	Charon no module.toml contract; could adopt a lightweight variant for fleet/checks/.
ksf	KSF-TOOL:reuse_check	Before building new code, run reuse-check against the candidate path; if similar code exists, reuse it	ported	into-charon	fleet/reuse-check.sh	none	Charon has fleet/reuse-check.sh as a one-command wrapper around ksf reuse-check.
ksf	KSF-TOOL:verify_self	Every gate runs a verify-self pass that exercises the gate against known inputs and confirms expected outcomes	gap	into-charon	fleet/tests/*.test.sh	port-to-charon	Charon tests/*.test.sh are the structural equivalent; KSF's formal verify_self is a tighter contract.
ksf	KSF-CONTRACT:module	Each module declares: name, surface (path GLOB), gates (list), entrypoints (list)	gap	into-charon	none	port-to-charon	Charon no module.toml equivalent; could apply to fleet/checks/*.sh as the gate-registry unit.
ksf	KSF-CONTRACT:redproof_test	Each module must have test_redproof.py proving the gate CAN go red	ported	into-charon	fleet/tests/*.test.sh	none	Charon *.test.sh is the bash equivalent; same intent.
ksf	KSF-CONTRACT:open_seam	Adding a new gate pattern is a registry entry, not a new gate script; the gate code reads patterns from data	gap	into-charon	none	port-to-charon	Charon has no pattern-registry; this is the anti-accretion generalization. SESSION-HANDOFF-mace-windu notes KS28 as a designed next.
charon	CHARON-MECH:land.sh	Single-command merge/land wrapper: commit pending → run gate (refuse-on-red) → branch → push → open+merge PR → sync local base. Refuses ungated merges.	ported	out-of-charon	fleet/land.sh	file-slop-ticket	SLOP-TICKET: land.sh-equivalent — wrap ms-enforce + git push in a single refuse-on-red script; mediastack has Makefile targets but not a refuse-on-red gate before push.
charon	CHARON-MECH:land-push.sh	Lever-gated push wrapper: checks AUTONOMOUS state; if ON pushes without asking, if OFF asks first. Raw git push deny-listed.	ported	out-of-charon	fleet/land-push.sh	file-slop-ticket	SLOP-TICKET: lift_push_restore analog that respects a lever/session-state for unattended vs supervised mode. SLOP has lift_push_restore.py; lever-gating is the new piece.
charon	CHARON-MECH:handoff-check.sh	Pre-handoff gate: every referenced SHA/path/script in the handoff must exist; committed-SHA claim must be real. Non-zero exit = incomplete handoff.	ported	out-of-charon	fleet/handoff-check.sh	file-slop-ticket	SLOP-TICKET: ms-enforce check_handoff_facts equivalent with file-existence + SHA-grep verification. The mechanism is in SLOP but not committed to a fail-closed gate.
charon	CHARON-MECH:validate_board.sh	Mechanized board validator: flags tickets missing Dependencies & Sequence; flags orphan tickets (not in any project); flags stale parked items.	ported	out-of-charon	fleet/validate_board.sh	file-slop-ticket	SLOP-TICKET: validate_board analog for tracking.db — required-fields at claim time; orphan detection; freshness-signal-to-red for parked items.
charon	CHARON-MECH:parallelizability-gate	Verifies a ticket's file ownership is disjoint from other in-flight tickets; non-disjoint tickets must declare a serialization or stay serial.	ported	out-of-charon	fleet/checks/parallelizability-gate.sh	file-ksf-ticket	KSF-TICKET: wci-contention.sh analog for KSF modules — a gate that verifies two in-flight modules don't share surface. KSF has reuse_check; parallelizability is the missing axis.
charon	CHARON-MECH:base-integrity	Before any build, gate that the ticket's base contains its prereq commits; never build on stale base.	ported	out-of-charon	fleet/checks/base-integrity.sh	file-ksf-ticket	KSF-TICKET: base-integrity check as a ksf gate — gate that a module's expected prereq gates are present in the base before building. KSF module.toml could carry base-prereqs field.
charon	CHARON-MECH:no-claude-executor	Hard block on any work executor invoking `claude -p` or `claude --bg`. Work runs off-Claude via gateway.	ported	out-of-charon	fleet/checks/no-claude-executor.sh	file-slop-ticket	SLOP-TICKET: provider-agnostic executor check — block any single-vendor hardcode in the executor. Same family as audit_single_entity_hardcode but executor-scoped.
charon	CHARON-MECH:project-audit.sh	Per-project pre-build audit: enumerate wave tickets, code-confirm BUILT/PARTIAL/STUB/NOT-STARTED with file:line, surface false blockers and pull-up candidates.	ported	out-of-charon	fleet/project-audit.sh	file-slop-ticket	SLOP-TICKET: project-start-audit.sh equivalent — before opening a wave, code-confirm every ticket; surface stale docstrings (the GAP-REGISTER manual-cherry-pick class is the exact miss this prevents).
charon	CHARON-MECH:wci-contention.sh	File-contention axis: flags >=N-owner files so the decomposer can re-shape around them.	ported	out-of-charon	fleet/wci-contention.sh	file-ksf-ticket	KSF-TICKET: wci-contention for ksf/modules — multi-owner surface file flag, feeds the decompose_sizing tool. KSF has reuse_check; contention-axis is missing.
charon	CHARON-MECH:capability/cost-tier	Capability-based cost-tier registry: providers are bucketed by capability + cost_class; routing reads the registry, never hardcodes providers.	ported	out-of-charon	fleet/capability/grades.py	file-slop-ticket	SLOP-TICKET: cost_class registry analog — auto-derive cost_class from captured pricing + manual overrides; never hardcode a provider's class in the executor. Auto-derives the SR-12 'auto cost_rank from pricing' ticket idea.
charon	CHARON-MECH:report.sh	Single source of truth for roadmap display: Projects → Waves → tickets, verbatim from ROADMAP.tsv. No editorialization, no summary.	ported	out-of-charon	fleet/report.sh	file-slop-ticket	SLOP-TICKET: roadmap-display gate — block any summary/rollup that preempts the canonical report. SLOP has ms-status but no equivalent 'always-raw' discipline.
charon	CHARON-MECH:handoff.sh	Handoff generator: machine-state block (live SHAs, ticket state, open blockers) is derived, not typed; handoff-check.sh gates accuracy.	ported	out-of-charon	fleet/handoff.sh	file-slop-ticket	SLOP-TICKET: SESSION-HANDOFF.md generator that derives the state block (true_state.py equivalent); SLOP has tools/true_state.py and tools/handoff_facts.py; wire them into the canonical handoff generator.
charon	CHARON-MECH:report.sh + handoff.sh	Roadmap/board surfaced at SessionStart hook — every session sees the live state without re-deriving.	ported	out-of-charon	fleet/hooks/session-start	file-slop-ticket	SLOP-TICKET: SessionStart hook that runs ms-status + report + board; eliminate per-session re-derivation of the live state.
charon	CHARON-MECH:review-log/<id>.md per-ticket	Per-ticket review-log fragment instead of shared-append. Eliminates droid-vs-droid collision on REVIEW-LOG.md.	ported	out-of-charon	docs/review-log/<id>.md	file-slop-ticket	SLOP-TICKET: per-ticket REVIEW-LOG fragments — eliminate the shared docs/REVIEW-LOG.md append-collision that breaks parallel droid work. Each droid owns its fragment.
charon	CHARON-MECH:disjoint owns + per-ticket depends_on	Each ticket's owns: is a single source of truth; depends_on: declares build-deps across tickets. Disjoint owns only rules out file collision, not deps.	ported	out-of-charon	validate_board.sh	file-slop-ticket	SLOP-TICKET: per-ticket owns/depends_on discipline — the disambiguation from 'disjoint owns is enough' to 'owns + depends_on both required at creation' is a Charon invention SLOP would benefit from.
charon	CHARON-MECH:capability/selftest.py	Capability self-test: parses the cost-tier registry at runtime and asserts the executor reads the SAME thresholds (no hardcoded duplicate).	ported	out-of-charon	fleet/capability/selftest.py	file-ksf-ticket	KSF-TICKET: gate-self-test pattern — a ksf module self-verifies that its own configuration is the one the executor reads, catching the 'drift between registry and consumer' class.
